link	post_id	author	title	text
https://minnskriget.diary.ru/p220050852.htm	220050852	Alexi Kivilaakso		"Ну снова здорово!!!! Снова просыпаешься, идешь в ванную...и снова нет горячей воды! Потом понимаешь ,что еще и отопления нет заодно...в конце октября, на улице +5 от силы! Самое время ремонтировать трубы в подвале, да? Учитывая, что было лето, был теплый сентябрь и очень теплая первая половина октября.

Да, мне сегодня уезжать и у меня 4 дня не мытая башка. И маска не стирана. До выезда 5 часов, воды нет. Отопление хоть дали пару минут назад, уже по крайней мере не холодно.

Я в диком восторге от наших комунальщиков. Надеюсь, я хоть помою голову, потому что ехать в таком виде-это пиздец, я чесаться буду до самого Пскова...по-моему, этот год приучает меня к тому, что нельзя оставлять мытье на последний день, именно в самый нужный момент воду и отключат. Обязательно. Ибо Москва, 21 век. И отопление заодно, отопление. Зачем вам отопление, на улице +5!!! И эпидемия! идите под дождик мойтесь в самом деле!

Я зол что капец...

@темы: Never Ending Game"
https://liss-rin.diary.ru/p220050837_nablyudeniya.htm	220050837	"все записи пользователя в сообществе
Братья Маджере"	Наблюдения.	"Т.н. ""вспышка"" заболевания связана с несколькими интересными факторами.

1. Тесты ВООБЩЕ ПОЯВИЛИСЬ. Весной их нихрена не было.
2. Люди болеют тупо орви, но тест показывает наличие короны. Ффффсьо, ты заболетый, хотя корона в пассиве, задавленная каким-нибудь вирусным синуситом.
3. Массовая истерия по сдаче тестов, от которых мы уворачиваемся, как можем, вызвала волну якобы подтвержденных результатов. Столько людей в очереди на анализы мы ещё не видели в жизни. Учитывая качество тестов, не верю.
4. И наконец осень - период скученности, сквозняков, тупых чмо с голыми лодыжками и головами под дождем (нихрена им мода не запрещает надеть яркие носки или взять зонт), отсутствия солнца (многих это угнетает, и падает сопротивляемость организма), возвращения из отпусков с кучей побочных инфекций.

Бинго.
Просто бинго.
Смерти среди знакомых:
- диабет, получил в больнице несовместимые препараты, умер
- ему было 70+, умер от тромбоза
- две недели с температурой отказывался от больницы, умер в итоге от сердечной недостаточности
- маргинальная пара из деревни, 60+
- опять хроник, сердечник, получивший несовместимые препараты
- возраст 45+, хроническая депрессия, истощение (жила на крошечное пособие), гормональные нарушения, анемия, обмороки. Бинго. Вот тут правда пневмония (но чему удивляться?)

При этом никто не делает мазок на грипп и другие орви. Никто не пишет статистику заболеваемости и смертности, вы заметили?
Другой статистики нет!
Бесит.

@темы: злобствую Здраво, охранение"
https://vsevse-ru.diary.ru/p220050835_grushevyj-salat-s-rukkoloj-i-ovechim-syrom.htm	epigraph	"все записи пользователя в сообществе
vsevse.ru"	Грушевый салат с рукколой и овечьим сыром	"Грушевый салат с рукколой и овечьим сыром
Цикл - Интересные рецепты от ВСЁВСЁ.РУ
--------------------
ИНГРЕДИЕНТЫ НА 6 ПОРЦИЙ
Рукола - 150 г
Груши «конференц» - 2 штуки
Китайские груши - 2 штуки
Лимон - 1 штука
Белое сухое вино - 150 мл
Тростниковый сахар - 1 чайная ложка
Кедровые орехи - 25 г
Масло из виноградных косточек - по вкусу
Молотый черный перец - по вкусу
Морская соль - по вкусу
Овечий сыр - 50 г

ПОШАГОВЫЙ РЕЦЕПТ ПРИГОТОВЛЕНИЯ
1. Нежно промыть листья рукколы в холодной воде, просушить в центрифуге.

2. Помыть груши, очистить от кожуры. Разрезать на четверти сверху вниз, удалить сердцевину и корень черенка. Каждую четверть разрезать поперёк, получившиеся части порезать вдоль на фрагменты в полсантиметра. Сбрызнуть соком лимона.

3. Разогреть сковороду, влить вино так, чтобы оно закрывало поверхность на сантиметр. Когда вино нагреется, добавить тростниковый сахар и полностью его растворить. Дать вину выпариться наполовину.

4. Выложить «Конференц» в сковороду. Аккуратно помешивая, готовить на сильном огне, пока вино почти полностью не испарится, а груши не потемнеют и станут мягкими.

5. Нарезать сыр на тонкие пластинки.

6. Выложить рукколу на сухие тарелки. Сверху — груши «Конференц», свежие «Китайские», сыр. Пролить маслом и обрызгать лимонным соком. Посыпать кедровыми орехами, попробовать и при необходимости добавить перец и соль.

И все это приготовлено в посуде из интернет магазина ВСЁВСЁ.РУ
www.vsevse.ru/catalog/dishes/stolovaya-posuda/
Самый интересный и актуальный сайт всевсе.ру где можно найти посуду для любых целей по доступным ценам

Приятного аппетита друзья!

#интересные_рецепты #посуда #блюда #рецепты #техника #салат #кухнимира #всёдлядома #всевсе_ру"
https://freezone-3.diary.ru/p220050833.htm	220050833	Дина_Мит		"Сижу и мысленно хвалю и глажу себя по головке за то, как аккуратно все это время вел бложик в вейбо не превращая его в фанатский балаган. Не идеально как мне бы хотелось (сделать приличную картинку из того, что на самом деле, выразить то, что хочу сказать, не соврать - и при том чтоб это выглядело... пристойно))), с большой поправкой на языковой барьер (раньше еще более высокий и с колючей проволокой) но более-менее получилось... коряво, но честно и сдержанно. Иначе мне вот сейчас было бы очень стыдно. А так ничего, просто немного стыдновато...

Ко мне пришли _приличные_ китайцы... пролайкали несколько постов и поправили написание праздника 8 марта - “三八妇女节”. Вообще-то по тэгам и в своих же постах в инете они сами пишут немного иначе, но тут ведь как с падонками и прочими искажениями интернет-культуры... получить мнение не неизвестно кого, а точно образованного китайца - бесценно.
Скрин сделала и хотела поделиться, но все-таки мне стыдно) кому принципиально любопытно - в БИ лежит картинка ))"
https://avelis.diary.ru/p220050831.htm	220050831	Avelis		"в статье на висиру все так просто и понятно, но очень неплохо собрано.
я такой прочитал и знатно поржал. особенно с четырех вопросов этих. в случае паники открыть вопросы и начать отвечать.

Какие существуют объективные доказательства или факты, подтверждающие это?

Какие? Да никаких, нутром чую! И тут как давай смеяться, боже, я не знаю, это просто квинтэссенция экспертизы по накручиванию. И тут эту квинтэссенцию вызывают на ковер к комиссии. И комиссия такая: ФАКТЫ ФАКТЫ ФАКТЫ?
А я такая: НЕЕЕЕТ! НУ Я ХУДОЖНИК Я ТАК ВИЖУ ПАНИМАИШШШШЬ, ДААА?

Как бы кто-то еще рассматривал эту ситуацию?
Какие еще стороны я не учел?
Какие действия я могу предпринять, чтобы повлиять на то, что произойдет дальше?

В общем, потом посижу и поотвечаю и по другим аспектам, помимо эмоциональных.
Я поняла, что с начала весны я начала сублимировать в шаги. То есть, ну, не знаешь, че делать? Не хочешь что-то делать? Иди ходи, слышь, а.

Так что теперь я нахожусь в таком потрясающем физическом состоянии, как примерно никогда, если не считать детство. У меня тверденькие мышцы на ногах, такие прям ащащащ, вообще твердющие. Причем везде. И икры, и голени, и бедра.

Так что пора, видимо, поменять на какой-то новый тип нагрузок, что ли. Но это позитивный эффект от прокрастинации, конечно. По 15 км каждый день сейчас особенно. А если 20 находишь - потом и спится так легко, и вообще. Но только времени на это уходит прорва.

Нашла новую группу. И она под ритм бегать-прыг-прыг и прям рили качает. ""Рви меха"" называется.

А про мужика. Мне кажется, я просто себя накручиваю, лишь бы не думать обо всем остальном. Подсознательно причем, не сознательно. Хер их поймешь, этих мужиков. Бог с ними."
https://alexsilent.diary.ru/p220050829.htm	220050829	Alex Silent		"Вчера долго разговаривали с коллегой за жизнь. Немного странно, но приятно. Вроде бы всё туда же и около тех же тем, что касается меня и новая история из её жизни. Но удалось как-то взглянуть на отдельные вещи со стороны. Переосмыслить. Немного по новому ощутить отдельные перспективы.
Захотелось снова прошуршать по своим вещам и выкинуть побольше, сжаться до минимализма. Я ощутила, что вещь, которая тебе досталась и вещь, которую ты сам осознанно пошёл и купил на свои деньги это две абсолютно разные истории. Это не значит, что я выброшу всё и заменю, но некоторый багаж прошлого хочется сбросить.
А потом с утра мне приснился сюжет, который я тут же решила броситься писать. Анадырь интересно на меня влияет в этот раз.

@темы: Будни"
https://beilingren.diary.ru/p220050824_pro-serialy.htm	220050824	Ren Strangel	Про сериалы	"The Boys (Season 2)
Несмотря на то, что вообще меня возмутило то количество мыла, которое налили в этот сезон, Пацаны все еще Пацаны
Да, я понимаю, что это все было нужно для раскрытия мотивации персонажей, но драмы многовато. Готова простить ее по одной единственной причине: Карлу наконец-то дали что-то сыграть. Еще со времен активного маккирк-дроча у меня в голове сюжет драмы с проблематикой отцы-дети с Карлом в главной роли, где он отец-одиночка и пытается выстроить отношения с недавно обретенной дочерью-подростком. Прям жаль, что я не сценарист и не пейсатель. Очень надеюсь, что когда-нибудь его позовут в такой фильм и он согласится.
Понравилась линия грозы, было довольно интригующе и интересно. Наконец-то раскрыли Мэйв, а то она в первом сезоне как будто в качестве мебели была. Жаль, что Факела слили. Конгресвумен изначально вызывала подозрения, так что финалу я не особо удивилась. Остается только ждать 3й сезон.

The third day (Season 1)
Мини-сериал HBO с Джудом об общине (типа секты) на уединенном острове, дорога на который открывается только во время отлива.
Очень ждала и очень хотела посмотреть. Хорошо, что дождалась, когда выйдет две серии, потому что, вероятно, посмотрев одну, я бы подумала ""Втф?"" и не стала бы смотреть дальше. А посмотрев две, я была в восторге, и наряду с Пацанами, каждую неделю очень ждала новый эпизод.
Отец семейства, потерявшего 10 лет назад одного из детей, спасает от самоубийства девочку и отвозит ее домой, на остров. Не успевает уехать оттуда -- дорога закрывается приливом. Ну и проводит веселый вечерок, после которого не может оттуда уехать. У острова есть своя история и предназначение, в которое верят его жители.
Как я уже написала, мне было очень интересно несмотря на неторопливое повествование и часовые серии. Но финал меня немного разочаровал =/ Слишком много осталось вопросов. И даже не касательно судьбы героев, а скорее касательно истории острова, как будто сказали А, а на Б не хватило чего-то.
спойлерно недоумеваю


Ratched (Season 1)
Первое, что хочется сказать -- очень красиво) Все эти наряды Милдред, контраст с декорациями, машина ее цвета морской волны... в итоге визуальное наслаждение все же заглушило мои вопросы в стиле ""откуда у простой мед.сестры деньги на все это""
спойлеры
Все очень в стиле Мерфи -- реалистичность весьма условная, но бомбануло меня, когда в психушке устроили танцы и сняли наручники с психопата, зарезавшего пачку священников Райан, дорогой, не надо так.

@темы: сериалы"
https://topbot.diary.ru/p220050804_rumynskij-restoran-o-chyom-govoryat-muzhchiny.htm	220050804	topbot	Румынский ресторан. О чём говорят мужчины	"   В прошлую пятницу, в связи с приближающимся завершением ремонта парохода, руководство завода пригласило нас в кабак. Нас - это меня со старшим механиком и троих греческих суперинтендантов, представителей Судовладельца. Обычное дело для СРЗ. Завод представлял Project Manager тот самый Габриэл с товарищем.
.
.

   Сначала впечатления от кабака и местной кулинарии. Повели нас в ресторан ""Marco Polo"", который по словам Габриэля славится в Констанце эксклюзивной кухней. что-то типа компота на запивку. ""Полинка"" - голимый самогон.
   В связи с пандемией народа было немного. Естественно, все ели без масок, а вот официантки шныряли в масках и перчатках до локтей.
   Апперетив пришлось ждать не менее получаса. Херня какая-то. По совету местных товарищей принесли по полстакана популярного румынского напитка ""Полинка"" - голимый самогон. И хотя все знали, что я не пью, общественность потребовала, чтобы я хотя бы отхлебнул на пробу. Что сказать, самогон он и есть самогон. В догонку Габриэл выкатил свою домашнюю ""Полинку"" - опять же самогон, но уже из абрикосов.
.
читать дальше
.
   Ещё минут через 40 принесли салаты - крупно нарубленная зелень в мисках, словно для скота. И бутерброды с красной рыбой, жареные баклажаны и ещё какую-то овощную фигню. Ещё было несколько кусочков сыра, которым румыны особенно гордились.
.
.
   Правда тут ещё подали фирменное блюдо ресторана - жареную куриную печень с овощным гарниром. Гарнир как раз и являлся главной фишкой - не известно что именно там было (мелко нарубленные овощи) и чем полито. Но ощущался явный вкус уксуса. В принципе, очень даже съедобно.
   Прошло ещё не меньше часа пока подали основное блюдо - говядина, нарезанная толстыми ломтями на огне. Типа сами готовьте до необходимой кондиции. Огонёк слабенький, так что я это есть не стал.
.
.
   Под мясо пошло местное сухое вино. Некоторые граждане выбрали почему-то не красное, а белое. Крестьяне наверное.
   Короче говоря, в этот ресторан второй раз я бы не пошёл.
   Участники встречи изрядно наклюкались. Темы разговоров были строго в соответствии с известным анекдотом. Сначала греки из вежливости рассыпали комплименты румынской кухне, да и самой Румынии, мол как тут хорошо и красиво. Наш старший механик ублажал слух греков заявлениями, что вся мировая культура пошла именно из Греции и всё, что есть лучшего в цивилизации, заимствовано у греков. Я молчал, но про себя уточнил: ""И гомосексуализм тоже"". Можно считать, что первый этап - разговор о бабах.
   По классическому сценарию, вторая тема (после принятия ""Полинки"" - о работе. Я послушал кто каких высот достиг в своей профессии и как трудно занимать руководящие должности.
   А когда полирнулись винчиком, то перекинулись на политику. Страсти закипели и спорящие орали на весь зал. Я уж думал, что вот-вот и они вцепятся друг другу в глотки. Спор шёл о коммунизме (социализме), где всё запрещено и у людей нет выбора, и демократическом свободном капитализме. Оказалось, что один из греков - коммунист. Он так орал на своих оппонентов, что я даже испугался, что его кондрашка хватит. Стармех наш тоже начал хаить советские времена, хотя сам был коммунистом. В своё оправдание говорил, что он был закодирован пропагандой и в партию был вынужден вступить, чтобы стать старшим механиком, мол иначе никак. Врёт, подлец. Понятно, из беспринципных приспособленцев, какие в 1991 году прилюдно партбилеты жгли, а до того на партсобраниях горячо клялись в верности партии.
.
.
   Меня в 1988 году поставили капитаном, хотя я даже кандидатом не был. Правда потом заочно приняли в кандидаты, меня даже не спросив. И заявление я не писал, так как на пароходе было только два коммуниста, то есть отсутствовала партийная ячейка. Но это отдельная история.
   В спор я не ввязывался, но стало жалко греческого супериндентанта, бившегося в одиночку в окружении врагов, и я им сказал: ""Вы кичитесь своей якобы свободой оттого, что вы слепцы и не видите очевидного. А при капитализме диктатура такая, о какой коммунисты и не мечтали"". Я не в восторге (это мягко говоря) от политики диктатуры КПСС, да и вообще от гегемонов, но никому не позволяю хаить мою страну и её историю, ни иностранцам, ни всяким армянам и прочим татарам. Поэтому выдал им аргумент: ""Если что, у нас лучшие в мире ракеты. И самолёты, и подводные лодки. Американцы надеются за Океаном отсидеться (но это они не угадали), а вам, пляшущим под их дудку, сразу кранты будут"".
   Затем Габриэл стал вещать какой кровопийца Сталин, мол хуже Гитлера. Тут я тоже вставил всего одну фразу. Сказал её греку, но так, чтобы все слышали: ""Габриэл любит Гитлера, так как они ему зад лизали. А Сталин забрал у них незаконно оккупированную Бессарабию, а румыны только утёрлись и промолчали. А потом Красная Армия Антонеску по жопе настучала"".
.
.
   Вот так классно поговорили.
.

Советская артиллерия в Бессарабии
.
   И историю вспомнили...
   Фотопортреты греков не стал размещать, кто их знает, может засветиться опасаются.

.


источник - cczy 
[2 ссылок 76 комментариев 3700 посещений]
читать полный текст со всеми комментариями"
https://meineigenes.diary.ru/p220050801.htm	220050801	DiWo		"Оля шла шла шла
Оля денежку нашла.
Пошла Оля на базар
И купила ниже показанный товар.
Сегодня воспользовалась свободным четвергом и поехала на ближайший рыночек. Я очень редко сюда попадаю, так что каждый раз событие. Цель: наварить овощное рагу на эти дни, чтобы с зеленью. И заморозить овощные заготовки, желательно с зеленью и кореньями.
Задача выполнена. На самом рынке взглянула под ноги и обнаружила монетку 2 евро и еще 5 центов. А на таком оптовом рынке это значит 3 кг моркови и 3 пачки пастернака! Или тяжелый пучок мангольда! Мироздание оплатило мне часть овощей в качестве одобрения)))
Все вместе вышло на 10 евро.

подробно.








***
Хожу по квартире, непривычно полной вещами по сравнению с комнатой в клинике. И ужасаюсь тому, что завтра привезут два полных чемодана вещей.
***
В клинике появилась привычка после каждого кофе и каждого приема пищи чистить зубы.
***
Перешла на безлактозовое молоко (использую только для кофе) и безлактозовые таблетки- подсластители. По цене они не отличаются от простых. Сразу же неудобств по здоровью стало меньше."
https://sleepyraven.diary.ru/p220050777.htm	epigraph	- Кромахи -		"Активное воображение - мне не нравится название, какое-то оно слишком шершавое, но техника настолько полезная, что просто ой. И она проще в практическом исполнении, чем, например, медитация.
На днях я видела мужчину в красном плаще и с черепом какого-то хищного животного, надетым вместо маски или шлема на голову. Он въехал в город во главе войска, и его встретила женщина с головой коровы. У нее в каждой руке было по цветку. Мужчина ее обнял, и она отдала ему один цветок. Мужчина занес его под свой звериный череп, откусил и сжевал соцветие, а женщина-корова съела второй цветок.
Подсознание решило зайти сразу с козырей."
